t(ms),F(N),t0(ms),,,,
154909,0,-62,,,I,236.098855
154922,0,-49,,,F_avg,93.50449702
154934,0,-37,,,,
154946,0,-25,,,,
154959,0,-12,,,,
154971,0.931947966,0,0.012115324,,,
154984,0.931947966,13,0.011183376,,,
154996,0.931947966,25,0.012115324,,,
155009,0.931947966,38,0.011183376,,,
155021,0.931947966,50,0.012115324,,,
155034,0.931947966,63,0.011183376,,,
155046,0.931947966,75,0.012115324,,,
155059,0.931947966,88,0.029377604,,,
155071,3.96431937,100,0.051536152,,,
155084,3.96431937,113,0.047571832,,,
155096,3.96431937,125,0.051536152,,,
155109,3.96431937,138,0.047571832,,,
155121,3.96431937,150,0.051536152,,,
155134,3.96431937,163,0.047571832,,,
155146,3.96431937,175,0.086649706,,,
155159,9.366404688,188,0.112396856,,,
155171,9.366404688,200,0.121763261,,,
155184,9.366404688,213,0.112396856,,,
155196,9.366404688,225,0.121763261,,,
155209,9.366404688,238,0.112396856,,,
155221,9.366404688,250,0.121763261,,,
155234,9.366404688,263,0.112396856,,,
155246,9.366404688,275,0.158235633,,,
155259,14.97753889,288,0.179730467,,,
155271,14.97753889,300,0.194708006,,,
155284,14.97753889,313,0.194708006,,,
155297,14.97753889,326,0.299550778,,,
155317,14.97753889,346,0.059910156,,,
155321,14.97753889,350,0.194708006,,,
155334,14.97753889,363,0.230083558,,,
155346,23.36972081,375,0.303806371,,,
155359,23.36972081,388,0.28043665,,,
155371,23.36972081,400,0.303806371,,,
155384,23.36972081,413,0.28043665,,,
155396,23.36972081,425,0.303806371,,,
155409,23.36972081,438,0.28043665,,,
155421,23.36972081,450,0.422046872,,,
155434,41.56056725,463,0.498726807,,,
155446,41.56056725,475,0.540287374,,,
155459,41.56056725,488,0.498726807,,,
155471,41.56056725,500,0.540287374,,,
155484,41.56056725,513,0.498726807,,,
155496,41.56056725,525,0.540287374,,,
155509,41.56056725,538,0.498726807,,,
155521,41.56056725,550,0.732460477,,,
155534,71.12566001,563,0.92463358,,,
155547,71.12566001,576,0.85350792,,,
155559,71.12566001,588,0.85350792,,,
155571,71.12566001,600,0.92463358,,,
155584,71.12566001,613,0.85350792,,,
155596,71.12566001,625,0.92463358,,,
155609,71.12566001,638,1.163086175,,,
155622,107.8106746,651,1.293728095,,,
155634,107.8106746,663,1.293728095,,,
155646,107.8106746,675,1.40153877,,,
155659,107.8106746,688,1.293728095,,,
155671,107.8106746,700,1.40153877,,,
155684,107.8106746,713,1.293728095,,,
155696,107.8106746,725,1.40153877,,,
155709,107.8106746,738,1.473781964,,,
155721,137.8196527,750,1.791655485,,,
